X	Y	Z	Speed	Pause
-74.905	50.630	0	4000	2000
81.500	63.115	0	4000	2000
81.500	63.115	-47.5	2000	2000
81.500	63.115	-47.95	15	2000
71.500	63.115	-47.95	100	2000
81.500	63.115	-47.95	100	2000
71.500	63.115	-47.95	100	2000
81.500	63.115	-47.95	100	2000
71.500	63.115	-47.95	100	2000
81.500	63.115	-47.95	100	2000
81.500	63.115	0	4000	2000
15.065	-90.810	0	4000	2000
15.065	-90.810	-1.207	4000	2000
15.065	-90.810	-9.867	250	2000
15.065	-90.810	0	4000	2000
-74.905	50.630	0	4000	2000
-74.905	50.630	-25.741	4000	2000
